trade_id,account_id,portfolio_id,ticker,isin,side,quantity,trade_price,mark_price,trade_currency,base_currency,fx_rate,gross_notional,market_value,realized_pnl,unrealized_pnl,fx_pnl,total_fees,net_pnl,pnl_currency,timestamp,pricing_source,source_system
T0012,ACC003,PORT_US,MSFT,US5949181045,SELL,1000,420.9153,421.5783,USD,USD,1.0,420915.3,421578.3,0.0,-663.0,0.0,2.7,-665.7,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0013,ACC002,PORT_GLOBAL,SAP,DE0007164600,BUY,50,206.7593,204.6045,EUR,USD,1.17,10337.97,10230.23,0.0,-126.06,-5.18,0.63,-131.87,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0014,ACC003,PORT_GLOBAL,AAPL,US0378331005,BUY,1000,191.5128,194.9359,USD,USD,1.0,191512.8,194935.9,0.0,3423.1,0.0,2.7,3420.4,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0015,ACC003,PORT_GLOBAL,SAP,DE0007164600,BUY,1000,206.0466,205.2141,EUR,USD,1.17,206046.6,205214.1,0.0,-974.02,3.43,3.16,-973.75,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0016,ACC002,PORT_US,SAP,DE0007164600,BUY,100,203.2125,201.0187,EUR,USD,1.17,20321.25,20101.87,0.0,-256.67,-5.6,0.67,-262.94,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0017,ACC001,PORT_US,AAPL,US0378331005,BUY,200,188.865,186.7062,USD,USD,1.0,37773.0,37341.24,0.0,-431.76,0.0,0.64,-432.4,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0018,ACC003,PORT_GLOBAL,SAP,DE0007164600,BUY,500,206.2607,207.5724,EUR,USD,1.17,103130.35,103786.2,0.0,767.34,-2.91,1.58,762.85,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0019,ACC003,PORT_ARB,AAPL,US0378331005,BUY,50,190.129,188.2175,USD,USD,1.0,9506.45,9410.88,0.0,-95.57,0.0,0.54,-96.11,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0020,ACC001,PORT_GLOBAL,HSBA,GB0005405286,BUY,200,7.2446,7.2281,GBP,USD,1.36,1448.92,1445.62,0.0,-4.49,7.23,10.72,-7.98,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0021,ACC003,PORT_ARB,AAPL,US0378331005,BUY,50,192.1245,191.4053,USD,USD,1.0,9606.23,9570.27,0.0,-35.96,0.0,0.54,-36.5,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0022,ACC001,PORT_US,HSBA,GB0005405286,SELL,50,7.3204,7.2575,GBP,USD,1.36,366.02,362.88,0.0,4.27,3.93,0.73,7.47,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0023,ACC001,PORT_US,HSBA,GB0005405286,SELL,100,7.318,7.1895,GBP,USD,1.36,731.8,718.95,0.0,17.48,-3.73,0.78,12.97,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0024,ACC003,PORT_ARB,HSBA,GB0005405286,BUY,50,7.3168,7.1905,GBP,USD,1.36,365.84,359.52,0.0,-8.58,-8.64,3.22,-20.44,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0025,ACC003,PORT_US,AAPL,US0378331005,BUY,1000,188.9074,189.0796,USD,USD,1.0,188907.4,189079.6,0.0,172.2,0.0,2.7,169.5,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0026,ACC001,PORT_GLOBAL,7203,JP3633400001,SELL,100,2859.7863,2908.8623,JPY,USD,0.0068,285978.63,290886.23,0.0,-33.37,8.71,0.0,-24.66,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0027,ACC003,PORT_US,SAP,DE0007164600,BUY,1000,203.8239,206.9291,EUR,USD,1.17,203823.9,206929.1,0.0,3633.08,7.59,3.16,3637.51,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0028,ACC002,PORT_ARB,MSFT,US5949181045,SELL,1000,424.0644,415.7158,USD,USD,1.0,424064.4,415715.8,0.0,8348.6,0.0,2.7,8345.9,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0029,ACC001,PORT_GLOBAL,AAPL,US0378331005,BUY,50,191.4236,192.2263,USD,USD,1.0,9571.18,9611.32,0.0,40.14,0.0,0.54,39.6,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0030,ACC003,PORT_GLOBAL,7203,JP3633400001,SELL,50,2826.761,2775.2107,JPY,USD,0.0068,141338.05,138760.54,0.0,17.53,-3.33,0.0,14.2,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0031,ACC001,PORT_ARB,7203,JP3633400001,SELL,1000,2861.723,2813.1016,JPY,USD,0.0068,2861723.0,2813101.6,0.0,330.63,7.66,0.02,338.27,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0032,ACC002,PORT_ARB,AAPL,US0378331005,BUY,500,189.0806,192.0978,USD,USD,1.0,94540.3,96048.9,0.0,1508.6,0.0,1.35,1507.25,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0033,ACC003,PORT_US,MSFT,US5949181045,SELL,1000,423.2267,430.4345,USD,USD,1.0,423226.7,430434.5,0.0,-7207.8,0.0,2.7,-7210.5,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0034,ACC002,PORT_US,MSFT,US5949181045,BUY,200,422.372,418.4322,USD,USD,1.0,84474.4,83686.44,0.0,-787.96,0.0,0.64,-788.6,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0035,ACC002,PORT_US,AAPL,US0378331005,BUY,500,189.9272,187.8222,USD,USD,1.0,94963.6,93911.1,0.0,-1052.5,0.0,1.35,-1053.85,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0036,ACC002,PORT_US,7203,JP3633400001,SELL,200,2858.0645,2838.7611,JPY,USD,0.0068,571612.9,567752.22,0.0,26.25,-9.45,0.0,16.8,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0037,ACC002,PORT_US,SAP,DE0007164600,BUY,1000,204.7317,204.2108,EUR,USD,1.17,204731.7,204210.8,0.0,-609.45,9.68,3.16,-602.93,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0038,ACC001,PORT_GLOBAL,SAP,DE0007164600,BUY,500,202.9569,201.8546,EUR,USD,1.17,101478.45,100927.3,0.0,-644.85,-8.6,1.58,-655.03,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0039,ACC003,PORT_US,7203,JP3633400001,SELL,1000,2839.1292,2861.5252,JPY,USD,0.0068,2839129.2,2861525.2,0.0,-152.29,1.09,0.02,-151.22,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0040,ACC003,PORT_ARB,HSBA,GB0005405286,BUY,1000,7.26,7.203,GBP,USD,1.36,7260.0,7203.0,0.0,-77.52,-5.8,53.04,-136.36,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0041,ACC002,PORT_GLOBAL,7203,JP3633400001,SELL,100,2850.6369,2868.7499,JPY,USD,0.0068,285063.69,286874.99,0.0,-12.32,-4.32,0.0,-16.64,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0042,ACC001,PORT_ARB,AAPL,US0378331005,SELL,100,191.668,189.7118,USD,USD,1.0,19166.8,18971.18,0.0,195.62,0.0,0.57,195.05,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0043,ACC002,PORT_GLOBAL,AAPL,US0378331005,BUY,500,190.4786,193.4703,USD,USD,1.0,95239.3,96735.15,0.0,1495.85,0.0,1.35,1494.5,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0044,ACC001,PORT_ARB,MSFT,US5949181045,SELL,50,420.4822,414.3152,USD,USD,1.0,21024.11,20715.76,0.0,308.35,0.0,0.54,307.81,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0045,ACC003,PORT_ARB,SAP,DE0007164600,SELL,500,205.4619,204.8598,EUR,USD,1.17,102730.95,102429.9,0.0,352.23,8.14,1.58,358.79,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0046,ACC002,PORT_GLOBAL,HSBA,GB0005405286,BUY,200,7.2885,7.2228,GBP,USD,1.36,1457.7,1444.56,0.0,-17.87,-8.45,10.78,-37.1,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0047,ACC002,PORT_GLOBAL,7203,JP3633400001,BUY,100,2830.0973,2853.4648,JPY,USD,0.0068,283009.73,285346.48,0.0,15.89,-8.72,0.0,7.17,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0048,ACC002,PORT_GLOBAL,SAP,DE0007164600,BUY,100,206.3649,210.047,EUR,USD,1.17,20636.49,21004.7,0.0,430.81,-9.61,0.67,420.53,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0049,ACC001,PORT_GLOBAL,HSBA,GB0005405286,SELL,500,7.3012,7.3735,GBP,USD,1.36,3650.6,3686.75,0.0,-49.16,0.92,1.84,-50.08,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0050,ACC001,PORT_GLOBAL,HSBA,GB0005405286,SELL,500,7.1817,7.2461,GBP,USD,1.36,3590.85,3623.05,0.0,-43.79,6.81,1.84,-38.82,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
