trade_id,broker_trade_id,broker_execution_id,order_id,account_id,side,ticker,isin,security_type,quantity,price,gross_notional,trade_currency,exchange,venue_mic,market_country,broker_name,timestamp,settlement_date,fx_rate,commission,exchange_fee,clearing_fee,tax,stamp_duty,total_fees,net_settlement_amount,confirmation_status,source_system
T0038,BT000038,BE000038,O00038,ACC001,BUY,SAP.DE,DE0007164600,COMMON_STOCK,500,202.9569,101478.45,EUR,Xetra,XETR,DE,Broker_C,2026-09-12T10:55:03.452,2026-09-14,1.17,1.0,0.25,0.1,0.0,0.0,1.35,101479.8,CONFIRMED,BROKER
T0039,BT000039,BE000039,O00039,ACC003,SELL,7203.T,JP3633400001,COMMON_STOCK,1000,2839.1292,2839129.2,JPY,Tokyo Stock Exchange,XTKS,JP,Broker_B,2026-09-12T10:27:52.446,2026-09-14,0.0068,2.0,0.5,0.2,0.0,0.0,2.7,2839126.5,CONFIRMED,BROKER
T0040,BT000040,BE000040,O00040,ACC003,BUY,HSBA.L,GB0005405286,COMMON_STOCK,1000,7.2599,7260.0,GBP,London Stock Exchange,XLON,GB,Broker_C,2026-09-12T10:27:43.261,2026-09-14,1.36,2.0,0.5,0.2,0.0,36.3,39.0,7299.0,CONFIRMED,BROKER
T0041,BT000041,BE000041,O00041,ACC002,SELL,7203.T,JP3633400001,COMMON_STOCK,100,2850.6368,285063.69,JPY,Tokyo Stock Exchange,XTKS,JP,Broker_B,2026-09-12T10:54:11.795,2026-09-14,0.0068,0.5,0.05,0.02,0.0,0.0,0.57,285063.12,CONFIRMED,BROKER
T0042,BT000042,BE000042,O00042,ACC001,SELL,AAPL,US0378331005,COMMON_STOCK,100,191.6681,19166.8,USD,NASDAQ,XNAS,US,Broker_C,2026-09-12T10:10:02.772,2026-09-14,1.0,0.5,0.05,0.02,0.0,0.0,0.57,19166.23,CONFIRMED,BROKER
T0043,BT000043,BE000043,O00043,ACC002,BUY,AAPL,US0378331005,COMMON_STOCK,500,190.4786,95239.3,USD,NASDAQ,XNAS,US,Broker_B,2026-09-12T10:16:38.856,2026-09-14,1.0,1.0,0.25,0.1,0.0,0.0,1.35,95240.65,CONFIRMED,BROKER
T0044,BT000044,BE000044,O00044,ACC001,SELL,MSFT,US5949181045,COMMON_STOCK,50,420.4823,21024.11,USD,NASDAQ,XNAS,US,Broker_C,2026-09-12T10:57:54.291,2026-09-14,1.0,0.5,0.03,0.01,0.0,0.0,0.54,21023.57,CONFIRMED,BROKER
T0045,BT000045,BE000045,O00045,ACC003,SELL,SAP.DE,DE0007164600,COMMON_STOCK,500,205.462,102730.95,EUR,Xetra,XETR,DE,Broker_A,2026-09-12T10:49:07.129,2026-09-14,1.17,1.0,0.25,0.1,0.0,0.0,1.35,102729.6,CONFIRMED,BROKER
T0046,BT000046,BE000046,O00046,ACC002,BUY,HSBA.L,GB0005405286,COMMON_STOCK,200,7.2885,1457.7,GBP,London Stock Exchange,XLON,GB,Broker_A,2026-09-12T10:35:35.440,2026-09-14,1.36,0.5,0.1,0.04,0.0,7.29,7.93,1465.63,CONFIRMED,BROKER
T0047,BT000047,BE000047,O00047,ACC002,BUY,7203.T,JP3633400001,COMMON_STOCK,100,2830.0974,283009.73,JPY,Tokyo Stock Exchange,XTKS,JP,Broker_B,2026-09-12T10:26:08.566,2026-09-14,0.0068,0.5,0.05,0.02,0.0,0.0,0.57,283010.3,CONFIRMED,BROKER
T0048,BT000048,BE000048,O00048,ACC002,BUY,SAP.DE,DE0007164600,COMMON_STOCK,100,206.3648,20636.49,EUR,Xetra,XETR,DE,Broker_B,2026-09-12T10:26:36.224,2026-09-14,1.17,0.5,0.05,0.02,0.0,0.0,0.57,20637.06,CONFIRMED,BROKER
T0049,BT000049,BE000049,O00049,ACC001,SELL,HSBA.L,GB0005405286,COMMON_STOCK,500,7.3011,3650.6,GBP,London Stock Exchange,XLON,GB,Broker_A,2026-09-12T10:57:03.680,2026-09-14,1.36,1.0,0.25,0.1,0.0,0.0,1.35,3649.25,CONFIRMED,BROKER
T0050,BT000050,BE000050,O00050,ACC001,SELL,HSBA.L,GB0005405286,COMMON_STOCK,500,7.1817,3590.85,GBP,London Stock Exchange,XLON,GB,Broker_C,2026-09-12T10:22:56.798,2026-09-14,1.36,1.0,0.25,0.1,0.0,0.0,1.35,3589.5,CONFIRMED,BROKER
